Committee,SubCommittee,C_First_Name,C_Last_Name,C_Party,C_Party_Name,State_Abbrv,R_First_Name,R_Last_Name,RM_Party,R_Party_Name,State,Chair_Names,Ranking_Members
Committee,"Agriculture, Nutrition and Forestry",Pat,Roberts,R,Republican,MI,Debbie,Stabenow,D,Democrat,Michigan,Pat Roberts,Debbie Stabenow
SubCommittee,"Commodities, Risk Management and Trade",John,Boozman,R,Republican,OH,Sherrod,Brown,D,Democrat,Ohio,John Boozman,Sherrod Brown
SubCommittee,"Conservation, Forestry and Natural Resources",Mike,Braun,R,Republican,CO,Michael,Bennet,D,Democrat,Colorado,Mike Braun,Michael Bennet
SubCommittee,"Livestock, Marketing and Agriculture Security",Cindy,Hyde-Smith,R,Republican,NY,Kirsten,Gillibrand,D,Democrat,New York,Cindy Hyde-Smith,Kirsten Gillibrand
SubCommittee,"Nutrition, Agricultural Research and Specialty Crops",Deb,Fischer,R,Republican,PA,Bob,Casey,D,Democrat,Pennsylvania,Deb Fischer,Bob Casey
SubCommittee,Rural Development and Energy,Joni,Ernst,R,Republican,MN,Tina,Smith,D,Democrat,Minnesota,Joni Ernst,Tina Smith
Committee,Appropriations,Richard,Shelby,R,Republican,VT,Patrick,Leahy,D,Democrat,Vermont,Richard Shelby,Patrick Leahy
SubCommittee,"Agriculture, Rural Development, Food and Drug Administration and Related Agencies",John,Hoeven,R,Republican,OR,Jeff,Merkley,D,Democrat,Oregon,John Hoeven,Jeff Merkley
SubCommittee,"Commerce, Justice, Science and Related Agencies",Jerry,Moran,R,Republican,NH,Jeanne,Shaheen,D,Democrat,New Hampshire,Jerry Moran,Jeanne Shaheen
SubCommittee,Defense,Richard,Shelby,R,Republican,IL,Dick,Durbin,D,Democrat,Illinois,Richard Shelby,Dick Durbin
SubCommittee,Energy and Water Development,Lamar,Alexander,R,Republican,CA,Dianne,Feinstein,D,Democrat,California,Lamar Alexander,Dianne Feinstein
SubCommittee,Financial Services and General Government,John,Kennedy,R,Republican,DE,Chris,Coons,D,Democrat,Delaware,John Kennedy,Chris Coons
SubCommittee,Homeland Security,ShelleyMoore,Capito,R,Republican,MT,Jon,Tester,D,Democrat,Montana,ShelleyMoore Capito,Jon Tester
SubCommittee,"Interior, Environment and Related Agencies",Lisa,Murkowski,R,Republican,NM,Tom,Udall,D,Democrat,New Mexico,Lisa Murkowski,Tom Udall
SubCommittee,"Labor, Health and Human Services, Education and Related Agencies",Roy,Blunt,R,Republican,WA,Patty,Murray,D,Democrat,Washington,Roy Blunt,Patty Murray
SubCommittee,Legislative Branch,Cindy,Hyde-Smith,R,Republican,CT,Chris,Murphy,D,Democrat,Connecticut,Cindy Hyde-Smith,Chris Murphy
SubCommittee,"Military Construction, Veterans Affairs and Related Agencies",John,Boozman,R,Republican,HI,Brian,Schatz,D,Democrat,Hawaii,John Boozman,Brian Schatz
SubCommittee,"State, Foreign Operations and Related Programs",Lindsey,Graham,R,Republican,VT,Patrick,Leahy,D,Democrat,Vermont,Lindsey Graham,Patrick Leahy
SubCommittee,"Transportation, Housing and Urban Development and Related Agencies",Susan,Collins,R,Republican,RI,Jack,Reed,D,Democrat,Rhode Island,Susan Collins,Jack Reed
Committee,Armed Services,Jim,Inhofe,R,Republican,RI,Jack,Reed,D,Democrat,Rhode Island,Jim Inhofe,Jack Reed
SubCommittee,Airland,Tom,Cotton,R,Republican,ME,Angus,King,I,Democrat,Maine,Tom Cotton,Angus King
SubCommittee,Cybersecurity,Mike,Rounds,R,Republican,WV,Joe,Manchin,D,Democrat,West Virginia,Mike Rounds,Joe Manchin
SubCommittee,Emerging Threats and Capabilities,Joni,Ernst,R,Republican,MI,Gary,Peters,D,Democrat,Michigan,Joni Ernst,Gary Peters
SubCommittee,Personnel,Thom,Tillis,R,Republican,NY,Kirsten,Gillibrand,D,Democrat,New York,Thom Tillis,Kirsten Gillibrand
SubCommittee,Readiness and Management Support,Dan,Sullivan,R,Republican,VA,Tim,Kaine,D,Democrat,Virginia,Dan Sullivan,Tim Kaine
SubCommittee,Seapower,David,Perdue,R,Republican,HI,Mazie,Hirono,D,Democrat,Hawaii,David Perdue,Mazie Hirono
SubCommittee,Strategic Forces,Deb,Fischer,R,Republican,NM,Martin,Heinrich,D,Democrat,New Mexico,Deb Fischer,Martin Heinrich
Committee,"Banking, Housing and Urban Affairs",Mike,Crapo,R,Republican,OH,Sherrod,Brown,D,Democrat,Ohio,Mike Crapo,Sherrod Brown
SubCommittee,Economic Policy,Tom,Cotton,R,Republican,NV,CatherineCortez,Masto,D,Democrat,Nevada,Tom Cotton,CatherineCortez Masto
SubCommittee,Financial Institutions and Consumer Protection,Tim,Scott,R,Republican,MA,Elizabeth,Warren,D,Democrat,Massachusetts,Tim Scott,Elizabeth Warren
SubCommittee,"Housing, Transportation and Community Development",David,Perdue,R,Republican,NJ,Bob,Menendez,D,Democrat,New Jersey,David Perdue,Bob Menendez
SubCommittee,National Security and International Trade and Finance,Ben,Sasse,R,Republican,VA,Mark,Warner,D,Democrat,Virginia,Ben Sasse,Mark Warner
SubCommittee,"Securities, Insurance and Investment",Pat,Toomey,R,Republican,MD,ChrisVan,Hollen,D,Democrat,Maryland,Pat Toomey,ChrisVan Hollen
Committee,Budget,Mike,Enzi,R,Republican,VT,Bernie,Sanders,I,Democrat,Vermont,Mike Enzi,Bernie Sanders
Committee,"Commerce, Science and Transportation",Roger,Wicker,R,Republican,WA,Maria,Cantwell,D,Democrat,Washington,Roger Wicker,Maria Cantwell
SubCommittee,Aviation and Space,Ted,Cruz,R,Republican,AZ,Kyrsten,Sinema,D,Democrat,Arizona,Ted Cruz,Kyrsten Sinema
SubCommittee,"Communications, Technology, Innovation and the Internet",John,Thune,R,Republican,HI,Brian,Schatz,D,Democrat,Hawaii,John Thune,Brian Schatz
SubCommittee,"Manufacturing, Trade and Consumer Protection",Jerry,Moran,R,Republican,CT,Richard,Blumenthal,D,Democrat,Connecticut,Jerry Moran,Richard Blumenthal
SubCommittee,"Science, Oceans, Fisheries and Weather",Cory,Gardner,R,Republican,WI,Tammy,Baldwin,D,Democrat,Wisconsin,Cory Gardner,Tammy Baldwin
SubCommittee,Security,Dan,Sullivan,R,Republican,MA,Ed,Markey,D,Democrat,Massachusetts,Dan Sullivan,Ed Markey
SubCommittee,Transportation and Safety,Deb,Fischer,R,Republican,IL,Tammy,Duckworth,D,Democrat,Illinois,Deb Fischer,Tammy Duckworth
Committee,Energy and Natural Resources,Lisa,Murkowski,R,Republican,WV,Joe,Manchin,D,Democrat,West Virginia,Lisa Murkowski,Joe Manchin
SubCommittee,Energy,Bill,Cassidy,R,Republican,NM,Martin,Heinrich,D,Democrat,New Mexico,Bill Cassidy,Martin Heinrich
SubCommittee,National Parks,Steve,Daines,R,Republican,ME,Angus,King,I,Democrat,Maine,Steve Daines,Angus King
SubCommittee,"Public Lands, Forests and Mining",Mike,Lee,R,Republican,OR,Ron,Wyden,D,Democrat,Oregon,Mike Lee,Ron Wyden
SubCommittee,Water and Power,Martha,McSally,R,Republican,NV,CatherineCortez,Masto,D,Democrat,Nevada,Martha McSally,CatherineCortez Masto
Committee,Environment and Public Works,John,Barrasso,R,Republican,DE,Tom,Carper,D,Democrat,Delaware,John Barrasso,Tom Carper
SubCommittee,Clean Air and Nuclear Safety,Mike,Braun,R,Republican,RI,Sheldon,Whitehouse,D,Democrat,Rhode Island,Mike Braun,Sheldon Whitehouse
SubCommittee,"Fisheries, Water and Wildlife",Kevin,Cramer,R,Republican,IL,Tammy,Duckworth,D,Democrat,Illinois,Kevin Cramer,Tammy Duckworth
SubCommittee,"Superfund, Waste Management and Regulatory Oversight",Mike,Rounds,R,Republican,NJ,Cory,Booker,D,Democrat,New Jersey,Mike Rounds,Cory Booker
SubCommittee,Transportation and Infrastructure,ShelleyMoore,Capito,R,Republican,MD,Ben,Cardin,D,Democrat,Maryland,ShelleyMoore Capito,Ben Cardin
Committee,Finance,Chuck,Grassley,R,Republican,OR,Ron,Wyden,D,Democrat,Oregon,Chuck Grassley,Ron Wyden
SubCommittee,"Energy, Natural Resources and Infrastructure",Tim,Scott,R,Republican,CO,Michael,Bennet,D,Democrat,Colorado,Tim Scott,Michael Bennet
SubCommittee,Fiscal Responsibility and Economic Growth,Bill,Cassidy,R,Republican,NH,Maggie,Hassan,D,Democrat,New Hampshire,Bill Cassidy,Maggie Hassan
SubCommittee,Health Care,Pat,Toomey,R,Republican,MI,Debbie,Stabenow,D,Democrat,Michigan,Pat Toomey,Debbie Stabenow
SubCommittee,"International Trade, Customs and Global Competitiveness",John,Cornyn,R,Republican,PA,Bob,Casey,D,Democrat,Pennsylvania,John Cornyn,Bob Casey
SubCommittee,"Social Security, Pensions and Family Policy",Rob,Portman,R,Republican,OH,Sherrod,Brown,D,Democrat,Ohio,Rob Portman,Sherrod Brown
SubCommittee,Taxation and IRS Oversight,John,Thune,R,Republican,VA,Mark,Warner,D,Democrat,Virginia,John Thune,Mark Warner
Committee,Foreign Relations,Jim,Risch,R,Republican,NJ,Bob,Menendez,D,Democrat,New Jersey,Jim Risch,Bob Menendez
SubCommittee,Africa and Global Health Policy,Lindsey,Graham,R,Republican,VA,Tim,Kaine,D,Democrat,Virginia,Lindsey Graham,Tim Kaine
SubCommittee,"East Asia, the Pacific and International Cybersecurity Policy",Cory,Gardner,R,Republican,MA,Ed,Markey,D,Democrat,Massachusetts,Cory Gardner,Ed Markey
SubCommittee,Europe and Regional Security Cooperation,Ron,Johnson,R,Republican,NH,Jeanne,Shaheen,D,Democrat,New Hampshire,Ron Johnson,Jeanne Shaheen
SubCommittee,"Multilateral International Development, Multilateral Institutions and International Economic, Energy and Environmental Policy",Todd,Young,R,Republican,OR,Jeff,Merkley,D,Democrat,Oregon,Todd Young,Jeff Merkley
SubCommittee,"Near East, South Asia, Central Asia and Counterterrorism",Mitt,Romney,R,Republican,CT,Chris,Murphy,D,Democrat,Connecticut,Mitt Romney,Chris Murphy
SubCommittee,"State Department and USAID Management, International Operations and Bilateral International Development",VACANT,VACANT,R,Republican,NJ,Cory,Booker,D,Democrat,New Jersey,VACANT VACANT,Cory Booker
SubCommittee,"Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights and Global Women's Issues",Marco,Rubio,R,Republican,MD,Ben,Cardin,D,Democrat,Maryland,Marco Rubio,Ben Cardin
Committee,"Health, Education, Labor and Pensions",Lamar,Alexander,R,Republican,WA,Patty,Murray,D,Democrat,Washington,Lamar Alexander,Patty Murray
SubCommittee,Children and Families,Rand,Paul,R,Republican,PA,Bob,Casey,D,Democrat,Pennsylvania,Rand Paul,Bob Casey
SubCommittee,Employment and Workplace Safety,Tim,Scott,R,Republican,WI,Tammy,Baldwin,D,Democrat,Wisconsin,Tim Scott,Tammy Baldwin
SubCommittee,Primary Health and Retirement Security,Mike,Enzi,R,Republican,VT,Bernie,Sanders,I,Democrat,Vermont,Mike Enzi,Bernie Sanders
Committee,Homeland Security and Governmental Affairs,Ron,Johnson,R,Republican,MI,Gary,Peters,D,Democrat,Michigan,Ron Johnson,Gary Peters
SubCommittee,Federal Spending Oversight and Emergency Management,Rand,Paul,R,Republican,NH,Maggie,Hassan,D,Democrat,New Hampshire,Rand Paul,Maggie Hassan
SubCommittee,Investigations (Permanent),Rob,Portman,R,Republican,DE,Tom,Carper,D,Democrat,Delaware,Rob Portman,Tom Carper
SubCommittee,Regulatory Affairs and Federal Management,James,Lankford,R,Republican,AZ,Kyrsten,Sinema,D,Democrat,Arizona,James Lankford,Kyrsten Sinema
Committee,Judiciary,Lindsey,Graham,R,Republican,CA,Dianne,Feinstein,D,Democrat,California,Lindsey Graham,Dianne Feinstein
SubCommittee,"Antitrust, Competition Policy and Consumer Rights",Mike,Lee,R,Republican,MN,Amy,Klobuchar,D,Democrat,Minnesota,Mike Lee,Amy Klobuchar
SubCommittee,Border Security and Immigration,John,Cornyn,R,Republican,IL,Dick,Durbin,D,Democrat,Illinois,John Cornyn,Dick Durbin
SubCommittee,Constitution,Ted,Cruz,R,Republican,HI,Mazie,Hirono,D,Democrat,Hawaii,Ted Cruz,Mazie Hirono
SubCommittee,Crime and Terrorism,Josh,Hawley,R,Republican,RI,Sheldon,Whitehouse,D,Democrat,Rhode Island,Josh Hawley,Sheldon Whitehouse
SubCommittee,Intellectual Property,Thom,Tillis,R,Republican,DE,Chris,Coons,D,Democrat,Delaware,Thom Tillis,Chris Coons
SubCommittee,"Oversight, Agency Action, Federal Rights and Federal Courts",Ben,Sasse,R,Republican,CT,Richard,Blumenthal,D,Democrat,Connecticut,Ben Sasse,Richard Blumenthal
Committee,Rules and Administration,Roy,Blunt,R,Republican,MN,Amy,Klobuchar,D,Democrat,Minnesota,Roy Blunt,Amy Klobuchar
Committee,Small Business and Entrepreneurship,Marco,Rubio,R,Republican,MD,Ben,Cardin,D,Democrat,Maryland,Marco Rubio,Ben Cardin
Committee,Veterans' Affairs,Jerry,Moran,R,Republican,MT,Jon,Tester,D,Democrat,Montana,Jerry Moran,Jon Tester
